HalfYear,Traffic Count
2018H1,4994206.6408839775
2018H2,5037423.092391305
2019H1,4967806.0497237565
2019H2,5203574.782608695
2020H1,4123441.554945055
2020H2,5041845.951086956
2021H1,5321993.817679558
2021H2,3964166.5108695654
2022H1,5146413.662983425
2022H2,5478785.972826087
2023H1,4331944.0497237565
2023H2,4951522.467391305
2024H1,3941651.26446281
