halfYear,isHoliday,partOfDay,weatherA,weatherB,SA2_Name,SA3_Name,trafficCount,population,crashesCount
2018H1,0,Day,Fine,Null,Botany Junction,East Tamaki,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Browns Bay Central,Browns Bay,4994206.6408839775,1533750.0,14
2018H1,0,Day,Fine,Null,Browns Bay South West,Browns Bay,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Buckland,Pukekohe South,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Bucklands Beach North,Bucklands Beach ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Burbank,Manurewa,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Campbells Bay,Campbells Bay,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Castor Bay North,Castor Bay,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Chapel Downs,Flat Bush,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Chatswood,Chatswood,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Cheltenham,Devonport,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Clarks Beach,Franklin West,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Clendon Park East,Clendon Park ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Clendon Park North,Clendon Park ,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Clendon Park West,Clendon Park ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Clevedon,Franklin North,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Clover Park East,Clover Park ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Clover Park North,Clover Park ,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Clover Park South,Clover Park ,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Cloverlea (Auckland),Pukekohe South,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Coatesville,Coatesville-Riverhead,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,College Hill,Freemans Bay,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Conifer Grove East,Conifer Grove,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Conifer Grove West,Conifer Grove,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Dairy Flat North,Dairy Flat,4994206.6408839775,1533750.0,12
2018H1,0,Day,Fine,Null,Dairy Flat South,Dairy Flat,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Dairy Flat West,Dairy Flat,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Dannemora North-Shamrock Park,Dannemora,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Dannemora South,Dannemora,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Devonport,Devonport,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Dingwall,Papatoetoe,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Dome Valley-Matakana,Rodney North,4994206.6408839775,1533750.0,36
2018H1,0,Day,Fine,Null,Donegal Park West,Flat Bush,4994206.6408839775,1533750.0,4
