date,SA22023_V1_00,SA32023_V1_00,weatherA,weatherB,light
2024-05-28,148200,51620,Heavy rain,Strong wind,night
2024-05-28,130500,51320,Heavy rain,Strong wind,day
2024-05-28,164500,52320,Heavy rain,Strong wind,night
2024-05-28,121800,50900,Heavy rain,Strong wind,day
2024-05-28,150101,51830,Heavy rain,Strong wind,day
2024-05-28,149800,51790,Heavy rain,Strong wind,day
2024-05-28,146201,51710,Heavy rain,Strong wind,day
2024-05-28,132002,51300,Heavy rain,Strong wind,day
2024-05-28,149800,51790,Heavy rain,Strong wind,night
2024-05-28,150000,52010,Heavy rain,Strong wind,day
2024-05-28,121701,50940,Heavy rain,Strong wind,night
2024-05-28,164900,52320,Heavy rain,Strong wind,night
2024-05-28,164900,52320,Heavy rain,Strong wind,day
2024-05-28,120000,50740,Heavy rain,Strong wind,night
2024-05-28,121701,50940,Heavy rain,Strong wind,day
2024-05-28,150000,52010,Heavy rain,Strong wind,night
2024-05-28,146100,51610,Heavy rain,Strong wind,night
2024-05-28,128901,51310,Heavy rain,Strong wind,day
2024-05-28,164603,51970,Heavy rain,Strong wind,day
2024-05-28,132300,51350,Heavy rain,Strong wind,day
2024-05-28,128901,51310,Heavy rain,Strong wind,night
2024-05-28,112200,50460,Heavy rain,Strong wind,day
2024-05-28,165001,52260,Heavy rain,Strong wind,night
2024-05-28,132002,51300,Heavy rain,Strong wind,night
2024-05-28,132200,51440,Heavy rain,Strong wind,night
2024-05-28,146100,51610,Heavy rain,Strong wind,day
2024-05-28,112301,50500,Heavy rain,Strong wind,day
2024-05-28,132300,51350,Heavy rain,Strong wind,night
2024-05-28,112301,50500,Heavy rain,Strong wind,night
2024-05-28,164700,52320,Heavy rain,Strong wind,day
2024-05-28,146000,51710,Heavy rain,Strong wind,day
2024-05-28,164800,52320,Heavy rain,Strong wind,day
2024-05-28,121800,50900,Heavy rain,Strong wind,night
2024-05-28,146000,51710,Heavy rain,Strong wind,night
2024-05-28,128800,51060,Heavy rain,Strong wind,day
2024-05-28,119901,50800,Heavy rain,Strong wind,day
2024-05-28,132200,51440,Heavy rain,Strong wind,day
2024-05-28,132100,51380,Heavy rain,Strong wind,day
2024-05-28,132100,51380,Heavy rain,Strong wind,night
2024-05-28,164800,52320,Heavy rain,Strong wind,night
2024-05-28,150200,51960,Heavy rain,Strong wind,day
2024-05-28,111100,50420,Heavy rain,Strong wind,day
2024-05-28,165600,52280,Heavy rain,Strong wind,night
2024-05-28,165502,52290,Heavy rain,Strong wind,night
2024-05-28,158501,52040,Heavy rain,Strong wind,day
2024-05-28,117201,50670,Heavy rain,Strong wind,day
2024-05-28,124100,50860,Heavy rain,Strong wind,day
2024-05-28,115700,50550,Heavy rain,Strong wind,night
2024-05-28,138502,51400,Heavy rain,Strong wind,day
2024-05-28,155601,51990,Heavy rain,Strong wind,day
2024-05-28,141300,51530,Heavy rain,Strong wind,day
2024-05-28,158501,52040,Heavy rain,Strong wind,night
2024-05-28,158402,52060,Heavy rain,Strong wind,day
2024-05-28,158402,52060,Heavy rain,Strong wind,night
2024-05-28,138502,51400,Heavy rain,Strong wind,night
2024-05-28,155602,51990,Heavy rain,Strong wind,night
2024-05-28,115700,50550,Heavy rain,Strong wind,day
2024-05-28,125500,51000,Heavy rain,Strong wind,night
2024-05-28,141201,51540,Heavy rain,Strong wind,day
2024-05-28,155601,51990,Heavy rain,Strong wind,night
2024-05-28,141300,51530,Heavy rain,Strong wind,night
2024-05-28,125600,51030,Heavy rain,Strong wind,night
2024-05-28,117201,50670,Heavy rain,Strong wind,night
2024-05-28,141802,51270,Heavy rain,Strong wind,night
2024-05-28,158900,52000,Heavy rain,Strong wind,night
2024-05-28,138100,51430,Heavy rain,Strong wind,night
2024-05-28,117400,50620,Heavy rain,Strong wind,day
2024-05-28,123900,50900,Heavy rain,Strong wind,night
2024-05-28,117300,50620,Heavy rain,Strong wind,day
2024-05-28,115400,50560,Heavy rain,Strong wind,day
2024-05-28,125500,51000,Heavy rain,Strong wind,day
2024-05-28,125900,51000,Heavy rain,Strong wind,day
2024-05-28,141801,51270,Heavy rain,Strong wind,day
2024-05-28,138200,51480,Heavy rain,Strong wind,night
2024-05-28,158800,52100,Heavy rain,Strong wind,day
2024-05-28,155200,51820,Heavy rain,Strong wind,night
2024-05-28,155401,51820,Heavy rain,Strong wind,night
2024-05-28,117202,50670,Heavy rain,Strong wind,day
2024-05-28,138600,51560,Heavy rain,Strong wind,day
2024-05-28,158800,52100,Heavy rain,Strong wind,night
2024-05-28,158900,52000,Heavy rain,Strong wind,day
2024-05-28,158502,52040,Heavy rain,Strong wind,day
2024-05-28,124000,50840,Heavy rain,Strong wind,night
2024-05-28,115300,50460,Heavy rain,Strong wind,night
2024-05-28,123900,50900,Heavy rain,Strong wind,day
2024-05-28,159000,52070,Heavy rain,Strong wind,night
2024-05-28,137400,51200,Heavy rain,Strong wind,night
2024-05-28,115002,50610,Heavy rain,Strong wind,night
2024-05-28,126200,51030,Heavy rain,Strong wind,night
2024-05-28,159500,52130,Heavy rain,Strong wind,night
2024-05-28,154801,51990,Heavy rain,Strong wind,day
2024-05-28,137500,51950,Heavy rain,Strong wind,night
2024-05-28,126200,51030,Heavy rain,Strong wind,day
2024-05-28,159500,52130,Heavy rain,Strong wind,day
2024-05-28,142101,51530,Heavy rain,Strong wind,day
2024-05-28,142101,51530,Heavy rain,Strong wind,night
2024-05-28,117600,50700,Heavy rain,Strong wind,night
2024-05-28,159401,52150,Heavy rain,Strong wind,night
2024-05-28,138501,51420,Heavy rain,Strong wind,night
2024-05-28,138501,51420,Heavy rain,Strong wind,day
2024-05-28,115601,50530,Heavy rain,Strong wind,night
2024-05-28,125600,51030,Heavy rain,Strong wind,day
2024-05-28,141500,51460,Heavy rain,Strong wind,day
2024-05-28,155401,51820,Heavy rain,Strong wind,day
2024-05-28,138302,51510,Heavy rain,Strong wind,night
2024-05-28,158602,52000,Heavy rain,Strong wind,day
2024-05-28,158602,52000,Heavy rain,Strong wind,night
2024-05-28,138302,51510,Heavy rain,Strong wind,day
2024-05-28,138400,51430,Heavy rain,Strong wind,day
2024-05-28,115601,50530,Heavy rain,Strong wind,day
2024-05-28,158601,52000,Heavy rain,Strong wind,night
2024-05-28,124100,50860,Heavy rain,Strong wind,night
2024-05-28,138400,51430,Heavy rain,Strong wind,night
2024-05-28,155500,52030,Heavy rain,Strong wind,day
2024-05-28,158601,52000,Heavy rain,Strong wind,day
2024-05-28,141500,51460,Heavy rain,Strong wind,night
2024-05-28,158502,52040,Heavy rain,Strong wind,night
2024-05-28,155500,52030,Heavy rain,Strong wind,night
2024-05-28,141600,51400,Heavy rain,Strong wind,night
2024-05-28,146600,51710,Heavy rain,Strong wind,night
2024-05-28,115300,50460,Heavy rain,Strong wind,day
2024-05-28,138100,51430,Heavy rain,Strong wind,day
2024-05-28,146301,51680,Heavy rain,Strong wind,day
2024-05-28,149702,51280,Heavy rain,Strong wind,day
2024-05-28,149702,51280,Heavy rain,Strong wind,night
2024-05-28,146201,51710,Heavy rain,Strong wind,night
2024-05-28,131802,51180,Heavy rain,Strong wind,night
2024-05-28,165301,52270,Heavy rain,Strong wind,day
2024-05-28,128902,51310,Heavy rain,Strong wind,day
2024-05-28,149701,51280,Heavy rain,Strong wind,night
2024-05-28,146400,51280,Heavy rain,Strong wind,day
2024-05-28,131801,51180,Heavy rain,Strong wind,night
2024-05-28,146400,51280,Heavy rain,Strong wind,night
2024-05-28,149600,51830,Heavy rain,Strong wind,day
2024-05-28,165302,52270,Heavy rain,Strong wind,night
2024-05-28,165302,52270,Heavy rain,Strong wind,day
2024-05-28,131801,51180,Heavy rain,Strong wind,day
2024-05-28,165101,51970,Heavy rain,Strong wind,day
2024-05-28,165101,51970,Heavy rain,Strong wind,night
2024-05-28,120101,50860,Heavy rain,Strong wind,night
2024-05-28,132001,51300,Heavy rain,Strong wind,night
2024-05-28,165502,52290,Heavy rain,Strong wind,day
2024-05-28,131500,51340,Heavy rain,Strong wind,night
2024-05-28,129000,51330,Heavy rain,Strong wind,night
2024-05-28,120201,50910,Heavy rain,Strong wind,day
2024-05-28,128902,51310,Heavy rain,Strong wind,night
