date,isHoliday,SA22023_V1_00_Filled,SA22023_V1_00_NAME,SA22023_V1_00_NAME_ASCII,SA32023_V1_00,SA32023_V1_00_NAME,SA32023_V1_00_NAME_ASCII,weatherA,weatherB,partOfDay,Traffic Count,Population
2024-05-28,0,130200,Saint Marys Bay,Saint Marys Bay,51140,Saint Marys Bay,Saint Marys Bay,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,130200,Saint Marys Bay,Saint Marys Bay,51140,Saint Marys Bay,Saint Marys Bay,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,127500,Henderson Central,Henderson Central,50960,Henderson,Henderson,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,127500,Henderson Central,Henderson Central,50960,Henderson,Henderson,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,149702,Bucklands Beach South,Bucklands Beach South,51280,Bucklands Beach ,Bucklands Beach ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,149702,Bucklands Beach South,Bucklands Beach South,51280,Bucklands Beach ,Bucklands Beach ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,120202,Hobsonville Point Park,Hobsonville Point Park,50910,Hobsonville,Hobsonville,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,120202,Hobsonville Point Park,Hobsonville Point Park,50910,Hobsonville,Hobsonville,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,113800,Silverdale Central (Auckland),Silverdale Central (Auckland),50520,Silverdale (Auckland),Silverdale (Auckland),Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,113800,Silverdale Central (Auckland),Silverdale Central (Auckland),50520,Silverdale (Auckland),Silverdale (Auckland),Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,129300,Belmont (Auckland),Belmont (Auckland),51070,Belmont (Auckland),Belmont (Auckland),Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,129300,Belmont (Auckland),Belmont (Auckland),51070,Belmont (Auckland),Belmont (Auckland),Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,142700,Saint Heliers West,Saint Heliers West,51240,Saint Heliers ,Saint Heliers ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
